Player,Team,Position,Salary
"Acevedo, Juan",New York Yankees,Pitcher,900000
"Anderson, Jason",New York Yankees,Pitcher,300000
"Clemens, Roger",New York Yankees,Pitcher,10100000
"Contreras, Jose",New York Yankees,Pitcher,5500000
"Hammond, Chris",New York Yankees,Pitcher,2200000
"Hitchcock, Sterling",New York Yankees,Pitcher,6000000
"Karsay, Steve",New York Yankees,Pitcher,5000000
"Liever, Jon",New York Yankees,Pitcher,550000
"Mussina, Mike",New York Yankees,Pitcher,12000000
"Osuna, Antonio",New York Yankees,Pitcher,2400000
"Pettitte, Andy",New York Yankees,Pitcher,11500000
"Rivera, Mariano",New York Yankees,Pitcher,10500000
"Weaver, Jeff",New York Yankees,Pitcher,4150000
"Wells, David",New York Yankees,Pitcher,3250000
"Appier, Kevin",Anaheim Angels,Pitcher,11500000
"Callaway, Mickey",Anaheim Angels,Pitcher,302500
"Donnelly, Brendan",Anaheim Angels,Pitcher,325000
"Lackey, John",Anaheim Angels,Pitcher,315000
"Ortiz, Ramon",Anaheim Angels,Pitcher,2266667
"Percival, Troy",Anaheim Angels,Pitcher,7833333
"Rodriquez, Francisco",Anaheim Angels,Pitcher,312500
"Schoeneweis, Scott",Anaheim Angels,Pitcher,1425000
"Sele, Aaron",Anaheim Angels,Pitcher,8166667
"Shields, Scot",Anaheim Angels,Pitcher,305000
"Washburn, Jarrod",Anaheim Angels,Pitcher,3875000
"Weber, Ben",Anaheim Angels,Pitcher,375000
"Wise, Matt",Anaheim Angels,Pitcher,302500
"Burkett, John",Boston Red Sox,Pitcher,5500000
"Embree, Alan",Boston Red Sox,Pitcher,3000000
"Fossum, Casey",Boston Red Sox,Pitcher,324500
"Fox, Chad",Boston Red Sox,Pitcher,500000
"Gonzalez, Dicky",Boston Red Sox,Pitcher,300000
"Howry, Bobby",Boston Red Sox,Pitcher,1700000
"Lowe, Derek",Boston Red Sox,Pitcher,3625000
"Lyon, Brandon",Boston Red Sox,Pitcher,309500
"Martinez, Pedro",Boston Red Sox,Pitcher,15500000
"Mendoza, Ramiro",Boston Red Sox,Pitcher,2900000
"Person, Robert",Boston Red Sox,Pitcher,300000
"Timlin, Mike",Boston Red Sox,Pitcher,1850000
"Wakefield, Tim",Boston Red Sox,Pitcher,4000000
"White, Matt",Boston Red Sox,Pitcher,300000
"Anderson, Brian",Cleveland Indians,Pitcher,1500000
"Baez, Danys",Cleveland Indians,Pitcher,5125000
"Bere, Jason",Cleveland Indians,Pitcher,1000000
"Davis, Jason",Cleveland Indians,Pitcher,301100
"Lee, Cliff",Cleveland Indians,Pitcher,300900
"Mulholland, Terry",Cleveland Indians,Pitcher,500000
"Myette, Aaron",Cleveland Indians,Pitcher,307500
"Riske, David",Cleveland Indians,Pitcher,314000
"Rodriguez, Ricardo",Cleveland Indians,Pitcher,302400
"Sabathia, CC",Cleveland Indians,Pitcher,1100000
"Sadler, Carl",Cleveland Indians,Pitcher,303200
"Santiago, Jose",Cleveland Indians,Pitcher,600000
"Traber, Billy",Cleveland Indians,Pitcher,300000
"Westbrook, Jake",Cleveland Indians,Pitcher,305500
"Wickman, Bob",Cleveland Indians,Pitcher,6000000
"Wohlers, Mark",Cleveland Indians,Pitcher,2600000
"Creek, Doug",Toronto Blue Jays ,Pitcher,700000
"Escobar, Kelvim",Toronto Blue Jays ,Pitcher,3900000
"File, Bob",Toronto Blue Jays ,Pitcher,310000
"Halladay, Roy",Toronto Blue Jays ,Pitcher,3825000
"Hendrickson, Mark",Toronto Blue Jays ,Pitcher,302000
"Lidle, Cory",Toronto Blue Jays ,Pitcher,5350000
"Linton, Doug",Toronto Blue Jays ,Pitcher,350000
"Lopez, Aquilino",Toronto Blue Jays ,Pitcher,300000
"Miller, Trever",Toronto Blue Jays ,Pitcher,305000
"Politte, Cliff",Toronto Blue Jays ,Pitcher,845000
"Sturtze, Tanyon",Toronto Blue Jays ,Pitcher,1000000
"Tam, Jeff",Toronto Blue Jays ,Pitcher,600000
"Walker, Pete",Toronto Blue Jays ,Pitcher,425000
"Bauer, Rick",Baltimore Orioles,Pitcher,325000
"Bedard, Erik",Baltimore Orioles,Pitcher,300000
"Daal, Omar",Baltimore Orioles,Pitcher,3000000
"Erickson, Scott",Baltimore Orioles,Pitcher,7030000
"Groom, Buddy",Baltimore Orioles,Pitcher,3000000
"Helling, Rick",Baltimore Orioles,Pitcher,1000000
"Hentgen, Pat",Baltimore Orioles,Pitcher,1200000
"Johson, Jason",Baltimore Orioles,Pitcher,2900000
"Julio, Jorge",Baltimore Orioles,Pitcher,350000
"Ligtenberg, Kerry",Baltimore Orioles,Pitcher,1200000
"Lopez, Rodrigo",Baltimore Orioles,Pitcher,325000
"Ponson, Sidney",Baltimore Orioles,Pitcher,4250000
"Roberts, Willis",Baltimore Orioles,Pitcher,3500000
"Ryan, BJ",Baltimore Orioles,Pitcher,762500
"Bierbrodt, Nick",Tampa Bay Devil Rays,Pitcher,300000
"Carter, Lance",Tampa Bay Devil Rays,Pitcher,300000
"Colome, Jesus",Tampa Bay Devil Rays,Pitcher,300000
"Harper, Travis",Tampa Bay Devil Rays,Pitcher,325000
"Kennedy, Joe",Tampa Bay Devil Rays,Pitcher,300000
"McClung, Seth",Tampa Bay Devil Rays,Pitcher,300000
"Parque, Jim",Tampa Bay Devil Rays,Pitcher,400000
"Parris, Steve",Tampa Bay Devil Rays,Pitcher,400000
"Seay, Bobby",Tampa Bay Devil Rays,Pitcher,300000
"Sosa, Jorge",Tampa Bay Devil Rays,Pitcher,300000
"Venafro, Mike",Tampa Bay Devil Rays,Pitcher,300000
"Zambrano, Victor",Tampa Bay Devil Rays,Pitcher,300000
"Affeldt, Jeremy",Kansas City Royals,Pitcher,313000
"Asencio, Miguel",Kansas City Royals,Pitcher,314000
"Bukvich, Ryan",Kansas City Royals,Pitcher,304500
"Carrasco, DJ",Kansas City Royals,Pitcher,300000
"George, Chris",Kansas City Royals,Pitcher,303500
"Grimsley, Jason",Kansas City Royals,Pitcher,2000000
"Hernandez, Runelvys",Kansas City Royals,Pitcher,305500
"Lopez, Albie",Kansas City Royals,Pitcher,1500000
"MacDougal, Mike",Kansas City Royals,Pitcher,301000
"May, Darrell",Kansas City Royals,Pitcher,450000
"Wilson, Kris",Kansas City Royals,Pitcher,311000
"Fetters, Mike",Minnesota Twins,Pitcher,500000
"Fiore, Tony",Minnesota Twins,Pitcher,330000
"Guardado, Eddie",Minnesota Twins,Pitcher,2700000
"Hawkins, Latroy",Minnesota Twins,Pitcher,3000000
"Lohse, Kyle",Minnesota Twins,Pitcher,330000
"Mays, Joe",Minnesota Twins,Pitcher,4150000
"Milton, Eric",Minnesota Twins,Pitcher,6000000
"Radke, Brad",Minnesota Twins,Pitcher,8750000
"Reed, Rick",Minnesota Twins,Pitcher,8000000
"Rogers, Kenny",Minnesota Twins,Pitcher,2000000
"Romero, JC",Minnesota Twins,Pitcher,325000
"Santana, Johan",Minnesota Twins,Pitcher,335000
"Buehrle, Mark",Chicago White Sox,Pitcher,445000
"Colon, Bartolo",Chicago White Sox,Pitcher,8250000
"Garland, Jon",Chicago White Sox,Pitcher,375000
"Glover, Gary",Chicago White Sox,Pitcher,330000
"Gordon, Tom",Chicago White Sox,Pitcher,1400000
"Koch, Billy",Chicago White Sox,Pitcher,4250000
"Loaiza, Esteban",Chicago White Sox,Pitcher,500000
"Marte, Damaso",Chicago White Sox,Pitcher,330000
"Stewart, Josh",Chicago White Sox,Pitcher,300000
"White, Ribk",Chicago White Sox,Pitcher,600000
"Wright, Danny",Chicago White Sox,Pitcher,325000
"Wunsch, Kelly",Chicago White Sox,Pitcher,575000
"Anderson, Matt",Detroit Tigers,Pitcher,3200000
"Bernero, Adam",Detroit Tigers,Pitcher,314000
"Bonderman, Jeremy",Detroit Tigers,Pitcher,300000
"Cornejo, Nate",Detroit Tigers,Pitcher,303000
"German, Franklyn",Detroit Tigers,Pitcher,300000
"Knotts, Gary",Detroit Tigers,Pitcher,305000
"Ledezma, Wilfredo",Detroit Tigers,Pitcher,300000
"Maroth, Mike",Detroit Tigers,Pitcher,309000
"Patterson, Danny",Detroit Tigers,Pitcher,2500000
"Roney, Matt",Detroit Tigers,Pitcher,300000
"Sparks, Steve",Detroit Tigers,Pitcher,4500000
"Spurling, Chris",Detroit Tigers,Pitcher,305000
"Walker, Jamie",Detroit Tigers,Pitcher,360000
"Carrara, Giovanni",Seattle Mariners,Pitcher,400000
"Franklin, Ryan",Seattle Mariners,Pitcher,425000
"Garcia, Freddy",Seattle Mariners,Pitcher,6875000
"Hasegawa, Shigetoshi",Seattle Mariners,Pitcher,1800000
"Mateo, Julio",Seattle Mariners,Pitcher,302500
"Meche, Gil",Seattle Mariners,Pitcher,325000
"Moyer, Jamie",Seattle Mariners,Pitcher,6500000
"Nelson, Jeff",Seattle Mariners,Pitcher,3983333
"Pineiro, Joel",Seattle Mariners,Pitcher,440000
"Rhodes, Arthur",Seattle Mariners,Pitcher,3500000
"Sasaki, Kazuhiro",Seattle Mariners,Pitcher,8000000
"Bowie, Micah",Oakland Athletics,Pitcher,304000
"Bradford, Chad",Oakland Athletics,Pitcher,331000
"Fikac, Jeremy",Oakland Athletics,Pitcher,316000
"Foulke, Keith",Oakland Athletics,Pitcher,6000000
"Halama, John",Oakland Athletics,Pitcher,750000
"Hudson, Tim",Oakland Athletics,Pitcher,2700000
"Lilly, Ted",Oakland Athletics,Pitcher,335000
"Mecir, Jim",Oakland Athletics,Pitcher,3216667
"Mulder, Mark",Oakland Athletics,Pitcher,2650000
"Neu, Mike",Oakland Athletics,Pitcher,300000
"Rincon, Ricardo",Oakland Athletics,Pitcher,1700000
"Zito, Barry",Oakland Athletics,Pitcher,1000000
"Cordero, Francisco",Texas Rangers,Pitcher,900000
"Fultz, Aaron",Texas Rangers,Pitcher,600000
"Garcia, Reynaldo",Texas Rangers,Pitcher,300000
"Lewis, Colby",Texas Rangers,Pitcher,302500
"Nitkowski, CJ",Texas Rangers,Pitcher,550000
"Park, Chan Ho",Texas Rangers,Pitcher,13000000
"Powell, Jay",Texas Rangers,Pitcher,3250000
"Thomson, John",Texas Rangers,Pitcher,1300000
"Urbina, Ugueth",Texas Rangers,Pitcher,4500000
"Valdes, Ismael",Texas Rangers,Pitcher,2500000
"Van Poppel, Todd",Texas Rangers,Pitcher,2500000
"Yan, Esteban",Texas Rangers,Pitcher,1500000
"Zimmerman, Jeff",Texas Rangers,Pitcher,3366667
